"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"137236","SN 2023tra","03:19:11.700","-20:02:14.80","SN Ia","0.07","","","Pan-STARRS, ALeRCE, ATLAS, Fink, YSE","Pan-STARRS, ZTF, ATLAS","ZTF","ALeRCE, ATLAS, Fink, Pan-STARRS, YSE","PS23irk","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.85","w-P1","2023-09-25 12:19:37.632","PS1_Bot1","","","2023TNSTR2396....1C","2023TNSCR2646....1P","",""
"137231","SN 2023tqv","04:03:03.767","+07:18:36.41","SN II","0.02","","","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ePESSTO+","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS23tep","ATLAS-CHL - ATLAS-04, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.137","orange-ATLAS","2023-09-26 06:35:07.296","ATLAS_Bot1","","","2023TNSTR2390....1T","2023TNSCR2493....1R","",""
"137224","SN 2023tqo","10:16:19.530","+35:59:26.12","SN Ia","0.049094","WISEA J101619.24+355928.6","0.04909","XOSS, GaiaAlerts, ATLAS, ZTF, GOTO","XOSS, GaiaAlerts, ATLAS, ZTF, GOTO","ZTF","ATLAS, GaiaAlerts, GOTO, XOSS, ZTF","XM109MZ","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.5","Clear-","2023-09-25 22:55:17.184","Mi Zhang","","","2023TNSTR2381....1Z","2023TNSCR2498....1F","",""
"137222","SN 2023tqm","07:57:28.615","+51:07:23.89","SN Ia","0.055","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ATLAS23teh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.702","cyan-ATLAS","2023-09-25 14:24:38.880","ATLAS_Bot1","","","2023TNSTR2377....1T","2023TNSCR2415....1F","",""
"137216","SN 2023tqg","00:31:54.013","-12:57:49.88","SN Ia","0.06","WISEA J003153.80-125750.9","","ALeRCE, Pan-STARRS, ATLAS, GOTO","ZTF, Pan-STARRS, ATLAS, GOTO","ZTF","ALeRCE, ATLAS, GOTO, Pan-STARRS","ZTF23abgqzhi","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.265","g-ZTF","2023-09-25 09:34:12.000","ALeRCE","","","2023TNSTR2375....1M","2023TNSCR2646....1P","",""
"137212","SN 2023tqc","00:28:46.301","+12:47:04.03","SN Ia","0.09","SDSS J002846.39+124706.3","","ALeRCE, ATLAS, Fink, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","Fink","ALeRCE, ATLAS, Fink, GOTO, Pan-STARRS","ZTF23abgspvs","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","ANU-2.3m - WiFeS","1","1","","20.2858","g-ZTF","2023-09-25 09:58:43.997","ALeRCE","","","2023TNSTR2375....1M","2024TNSCR1420....1M","",""
"137211","SN 2023tqb","23:28:14.113","-01:51:03.98","SN Ia","0.065","SDSS J232814.02-015101.2","","ALeRCE, YSE, ATLAS, DESIRT","ZTF, Pan-STARRS, ATLAS, DESIRT","ZTF","ALeRCE, ATLAS, DESIRT, Pan-STARRS, YSE","ZTF23abgspzj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, CTIO-4m - DECAM, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.5678","g-ZTF","2023-09-25 09:36:54.000","ALeRCE","","","2023TNSTR2375....1M","2023TNSCR2620....1S","",""
"137207","SN 2023tpx","06:53:29.002","+27:24:49.57","SN Ia","0.062","WISEA J065329.26+272449.8","","ALeRCE, ATLAS, GOTO, Fink, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ALeRCE, ATLAS, Fink, GOTO, Pan-STARRS","ZTF23abgtmzs","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.4607","g-ZTF","2023-09-25 10:25:11.001","ALeRCE","","","2023TNSTR2375....1M","2023TNSCR2662....1F","",""
"137198","SN 2023tpo","06:15:34.820","+51:58:14.45","SN Ia","0.050135","","","ATLAS, Fink, Pan-STARRS, GOTO, YSE","ATLAS, ZTF, Pan-STARRS, GOTO","ZTF","ATLAS, Fink, GOTO, Pan-STARRS, YSE","ATLAS23tef","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.012","cyan-ATLAS","2023-09-25 12:35:28.896","ATLAS_Bot1","","","2023TNSTR2377....1T","2023TNSCR2415....1F","",""
"137195","SN 2023tpl","07:08:41.694","+54:46:35.20","SN II","0.017","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","None","ATLAS, GOTO, Pan-STARRS","ATLAS23teb","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, PS1 - GPC1","NOT - ALFOSC","1","1","","17.692","cyan-ATLAS","2023-09-25 12:55:18.624","ATLAS_Bot1","","","2023TNSTR2377....1T","2023TNSCR2427....1N","",""
"137192","SN 2023tpi","00:46:27.827","-20:29:46.73","SN Ia","0.064","","","YSE, ALeRCE, ATLAS, BlackGEM","Pan-STARRS, ZTF, ATLAS, BlackGEM","ZTF","ALeRCE, ATLAS, BlackGEM, Pan-STARRS, YSE","PS23iqv","ATLAS-CHL - ATLAS-04, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.92","i-P1","2023-09-25 10:39:44.064","YSE_Bot1","","","2023TNSTR2382....1J","2023TNSCR2647....1J","",""
